"poi_id","valine_kood","x","y"
1219141,"JKK6500064",671308,6439482
1219095,"JKK4400165",713039,6588570
1219078,"JKK4400134",696409,6580317
1219081,"JKK7400036",456553,6404606
1219084,"JKK3900014",428858,6541162
1219159,"JKK3700458",556363,6572708
1219164,"JKK5100020",598711,6551468
1219171,"JKK7000052",535144,6559597
1219127,"JKK8600070",682361,6413304
1219088,"JKK7000029",523470,6529303
1219118,"JKK7800180",658497,6465990
1219160,"JKK7400033",425390,6495304
1219170,"JKK7400034",464523,6492677
1232677,"JKK7800177",663181,6476192
1232681,"JKK7400088",412486,6461188
1232688,"JKK4900079",615610,6517101
1232693,"JKK4400156",661857,6585016
1232698,"JKK8600045",667450,6415130
1232706,"JKK5700089",474128,6531613
1232712,"JKK8600066",709585,6404850
1232713,"JKK4400120",715069,6576134
1232750,"JKK4900097",632252,6521641
1232763,"JKK5700115",469498,6528144
1232764,"JKK5100163",577348,6528633
1232765,"JKK4400317",699309,6568221
1232769,"JKK4400276",675751,6584842
1232771,"JKK3700600",559308,6589478
1232775,"JKK3700538",567035,6558475
1232776,"JKK3700522",540337,6575900
1232784,"JKK6700206",517782,6478175
1232785,"JKK6700122",507350,6453462
1232787,"JKK8600084",709532,6405203
1232733,"JKK5900025",631897,6579796
1232802,"JKK6500100",688482,6451047
1232803,"JKK0900156",664254,6475926
1232786,"JKK7800024",657230,6480708
1232804,"JKK4400303",712418,6572585
1232809,"JKK3700751",555192,6592104
1232815,"JKK7800218",670100,6471218
1232818,"JKK5100096",590560,6542619
1232824,"JKK6700137",525895,6428804
1232825,"JKK0900178",483705,6535109
1232828,"JKK4400301",691663,6577866
1232829,"JKK8200056",612889,6428004
1232840,"JKK0900268",626526,6602155
1232843,"JKK3700912",518106,6579003
1232816,"JKK3700964",518065,6561931
1232812,"JKK4400292",687461,6590639
1232827,"JKK5900164",618577,6559184
1232841,"JKK8200048",646541,6439097
1232842,"JKK8200007",646455,6439290
1232844,"JKK5100135",599280,6557993
1232852,"JKK6700158",543577,6504066
1232854,"JKK3700885",578229,6591382
1232857,"JKK6500133",699984,6471488
1232858,"JKK3900081",433495,6534732
1232864,"JKK6700134",530741,6477757
1232856,"JKK4900096",649871,6508420
1232872,"JKK8400003",596979,6467387
1232873,"JKK4400310",688014,6568947
1232874,"JKK3700592",551315,6577121
1232985,"JKK4400256",687459,6590638
1232883,"JKK5900031",640521,6594220
1232890,"JKK7800217",662946,6479769
1232897,"JKK3900051",428034,6522423
1232901,"JKK6700189",527880,6474345
1232956,"JKK3700185",540156,6576205
1232971,"JKK3700948",550123,6587333
1232987,"JKK7000023",548473,6535645
1232996,"JKK7000034",548970,6539798
1233004,"JKK4400233",695435,6581341
1233006,"JKK3700925",536679,6587518
1233009,"JKK3700770",540150,6576998
1233017,"JKK6700023",530716,6477751
1233026,"JKK4400119",722355,6577376
1232970,"JKK5100098",591763,6530434
1232995,"JKK7000040",548991,6539799
1232998,"JKK8400104",608966,6457130
1233027,"JKK4400058",692172,6587148
1233040,"JKK4900094",627013,6504928
1232994,"JKK3700605",577501,6578868
1233070,"JKK3700581",522140,6577648
1233073,"JKK7800206",659726,6464807
1233077,"JKK7400147",390411,6466303
1233096,"JKK5100085",577364,6528231
1233098,"JKK7400140",455488,6406094
1233106,"JKK7800281",649237,6483563
1233115,"JKK3900060",428089,6522204
1233072,"JKK5100145",584500,6521340
1233091,"JKK4400313",718944,6586363
1233109,"JKK5900119",638418,6568914
1233130,"JKK4900048",664068,6528458
1233133,"JKK7800226",649238,6483564
1233141,"JKK4900020",672827,6519083
1233142,"JKK5100073",591014,6538666
1233150,"JKK5100094",592247,6533336
1233152,"JKK7000139",506479,6533867
1233154,"JKK8600098",695955,6403799
1233163,"JKK7800285",659395,6511693
1233169,"JKK3700490",551022,6584728
1233170,"JKK0900226",536666,6575852
1233171,"JKK4400237",672725,6583465
1233131,"JKK3900011",426307,6540112
1233134,"JKK8200043",629586,6417358
1233135,"JKK7800085",662507,6463073
1233143,"JKK4900019",615551,6504939
1233172,"JKK7800250",668510,6489259
1233173,"JKK8600094",665815,6418093
1233183,"JKK4900058",633361,6494650
1233186,"JKK7800248",663940,6481514
1233189,"JKK3900004",428073,6522216
1233192,"JKK8200092",633844,6399414
1233198,"JKK3700506",541961,6573037
1233203,"JKK5900041",641060,6572734
1233205,"JKK8600082",670854,6405198
1233212,"JKK0900224",539565,6547157
1233208,"JKK8400014",614201,6482354
1212338,"JKK5900233",643591,6589452
1232870,"JKK5100124",597050,6528890
1233025,"JKK4400015",674659,6582205
1241634,"JKK6700190",539027,6468178
1191967,"JKK6700065",536173,6459169
1232948,"JKK7800172",663181,6476213
1219030,"JKK6700107",526581,6477623
1219149,"JKK3900023",414313,6506898
1232711,"JKK6500063",714089,6429531
1232930,"JKK4400178",661429,6532914
1191924,"JKK7400032",410248,6465345
1191912,"JKK6700066",548945,6486095
1232689,"JKK8600146",695064,6413254
1185076,"JKK4900001",665828,6527337
1232770,"JKK3700965",559153,6588783
1232875,"JKK3700050",551132,6577164
1218908,"JKK5700028",460522,6537272
1212479,"JKK5100162",591972,6525930
1185071,"JKK4400304",693345,6567788
1232813,"JKK8600085",670600,6416600
1232900,"JKK4400167",722156,6576684
1240205,"JKK4400167",722319,6576732
1233168,"JKK4900103",626227,6496977
1232696,"JKK8200012",645880,6437963
1233058,"JKK0900253",682291,6411294
1219155,"JKK7800098",705378,6476040
1233145,"JKK5700087",472671,6540499
1183931,"JKK5700049",479892,6546646
1191758,"JKK6500002",704953,6429378
1219045,"JKK7400046",443015,6491710
1212532,"JKK6700056",547066,6436969
1232823,"JKK4400308",687479,6591430
1219085,"JKK3900026",429223,6525905
1219068,"JKK3900042",429218,6525942
1191741,"JKK3900029",429193,6525943
1232822,"JKK3700574",555199,6594468
1191811,"JKK4400026",689918,6554777
1233188,"JKK3700533",561434,6580730
1219174,"JKK5900104",635643,6582449
1232755,"JKK5900169",611833,6606216
1233179,"JKK6700136",531908,6473187
1191860,"JKK5700023",472643,6535606
1219123,"JKK4400195",667872,6583402
1219140,"JKK3700106",523349,6575252
1219034,"JKK5700061",472448,6494304
1232738,"JKK3700811",506224,6578123
1219107,"JKK5700076",475472,6533736
1191635,"JKK3700192",547139,6590267
1233206,"JKK3700001",540964,6584353
1219139,"JKK3700496",552304,6580295
1232685,"JKK4400230",684908,6586563
1240198,"JKK3900088",428709,6540611
1233000,"JKK3900088",428709,6540611
1232683,"JKK4400226",684544,6586085
1191891,"JKK4400104",684546,6588997
1240183,"JKK5100059",583525,6528632
1233213,"JKK6700135",527221,6472862
1218886,"JKK6500024",681074,6440577
1240204,"JKK7000064",545704,6539865
1232801,"JKK7000008",547157,6515673
1240180,"JKK8400083",591843,6469431
1232735,"JKK8400031",591691,6470927
1219116,"JKK7800205",660063,6470681
